,Neural_Stem_Cells_P,      Neuronal_Cells_and_Function_P,      Oligodendrocytes_P,   Astrocytes_P,  Neurotrophic_Factors_P
1,,Tuj1,,,
2,Nestin,Tuj1,MBP,GFAP,
3,,Tuj1,,,
4,Sox2,Tuj1,,,
5, Sox2,MAP2,,GFAP,
6,,Tuj1,,GFAP,
7,,Tuj1,,,
8,Nestin,MAP2,,,
9,Nestin,Tuj1,O4,GFAP,
10,,Tuj1,,GFAP,
11,,Tuj1,MBP, S100β,
12,,Tuj1,,,
13,, PSD95,,,
14,,Tuj1,MBP,GFAP,
15,,MAP2,,,
16,Nestin,Tuj1,,GFAP,
17,,Tuj1,, S100β,
18,,Tuj1,,,
19,Nestin,MAP2,, S100β,
20,,Tuj1,,,
21,,MAP2,,GFAP,
22,,Tuj1,,,
23,Nestin,MAP2,Olig2,GFAP,
24,,Tuj1,O4,GFAP,
25,,Tuj1,,GFAP,
26,,Other,, S100β,
27,,Tuj1,,,
28,Nestin,Tuj1,,,
29,Nestin,Tuj1,,Other,
30,,Tuj1,,,
31,, MAP2,,,
32,, NF,,,
33,, NeuN,,,
34,,Tuj1,,,
35,, MAP2,,,
36,,Tuj1,,,
37,,Tuj1,,,
38,,Tuj1,,,
39,, PSD95,,,
40,,Tuj1,,,
41,,Tuj1,,GFAP,
42,,NF,,,
43,,MAP2,,,
44,,PSD95,,,
45,, NF,,,
46,Nestin,NeuN,,,
47,Nestin,MAP2,,,
48,Nestin,Tuj1,,,
49,Nestin,Tuj1,,GFAP,
50,, SYN1,,,
51,,MAP2,,GFAP,
52,,Tuj1,,GFAP,BDNF
53,,Tuj1,,GFAP,
54,Nestin,Tuj1,,GFAP,
55,, Other,,,
56,,SYN1,,,
57,,Tuj1,,GFAP, NGF
58,, NeuN,,,
59,,Tuj1,,GFAP, Other 
60,,SYN1,,,
61,,MAP2,,,BDNF
62,,Tuj1,,GFAP,
63,,MAP2,,GFAP,
64,Nestin,Tuj1,, S100β,
65,, Other ,,,
66,,NF,,,
67,,Tuj1,,GFAP, Other
68,,,,,
69,,MAP2,,,
70,,Tuj1,,GFAP,
71,, NF,,,
72,,Tuj1,,,
73,, MAP2,,,
74,,MAP2,,,NGF
75,,MAP2,,,
76,, NeuN,,,
77,,,,,
78,Nestin,Tuj1,,GFAP,
79,,Tuj1,,GFAP,
80,,Other,MBP,,
81,,MAP2,,,BDNF
82,, PSD95,,,
83,,MAP2,,GFAP,
84,,Tuj1,,,
85,,MAP2,,,
86,,Tuj1,,GFAP,Other
87,, Other,,,
88,,Tuj1,,,
89,,Other,,,
90,, Tuj1,,,
91,,,,,
92,,Tuj1,,,
93,, SYN1,,,
94,, PSD95,,,
95,,Tuj1,,,
96,,Tuj1,,,
97,,NF,,,
98,,Other,,,
99,,NeuN,,,
100,, PSD95,,,
